Code,Test,Tab,Center,L/B,Task,ST,CT,ToT,Init,CFA,aCFA,FS,FCA,CEDZ,Notes,source,target,position
SuperSecretCodePhrase,2,Y,Y,B,3-2,3:27,3:55,28.0,R to GTaDZ,,,0.0,Reorganize,,,R,G,Ta
HelloGoodbyeHelloHugo,4,Y,N,B,3-2,3:33,3:52,19.0,R to GTaDZ,,,0.0,Reorded tabs,,,R,G,Ta
CILO,4,Y,N,B,3-2,3:01,3:19,18.0,R to BTaDZ,,,0.0,"Stacked Red in, then organized",,,R,B,Ta
NoMilkForSally,1,Y,Y,L,3-2,3:54,4:12,18.0,G to RTaDZ,,,0.0,"Docked, Reorded",,,G,R,Ta
WetDogOnBeach,3,Y,N,L,3-2,2:35,2:50,15.0,R to GTaDZ,,,0.0,Reorganize,,,R,G,Ta
FunToBeMe,1,Y,Y,L,3-2,2:40,2:54,14.0,R to GTaDZ,,,0.0,Reorganized tabs,,,R,G,Ta
SuperRobotMonkeyTeam,2,Y,Y,B,3-2,3:08,3:22,14.0,G to RTaDZ,,,0.0,B to GTaDZ,,,G,R,Ta
FootballBaseballLittleLeague,1,Y,Y,L,3-2,3:50,4:01,11.0,G to RCDZ,,,0.0,B to GCDZ,,,G,R,C
FalseDonkey,1,Y,Y,L,3-2,3:45,3:56,11.0,R to GTaDZ,,,0.0,Reorganize,,,R,G,Ta
StoreCatHiddenFacts,3,Y,N,L,3-2,5:44,5:55,11.0,R to GTaDZ,,,0.0,Reorganize,,,R,G,Ta
IAmMrAnnonymous,3,Y,N,L,3-2,3:09,3:18,9.0,B to RTaDz,,,0.0,Reordered tabs after docking,,,B,R,Ta
FoodChancesUnderwaterClod,4,Y,N,B,3-2,2:44,2:53,9.0,R to BTaDZ,,,0.0,Reorganize after,,,R,B,Ta
WalkRunCrawlFly,3,Y,N,L,3-2,3:22,3:31,9.0,R to GTaDZ,,,0.0,,,,R,G,Ta
MasterBranchXtensorIpyleaflet,1,Y,Y,L,3-2,2:23,2:31,8.0,G to RTaDZ,,,0.0,B to RTaDZ,,,G,R,Ta
JupyterConNewYork,6,N,Y,B,3-2,,,,Skipped,,,,,,,,,
FredaMyRogerDarci,5,N,Y,L,3-2,SKIPPED,,,,,,,,,,,,
DonkeyAndBabyClothes,1,Y,Y,L,3-2,3:50,,1210.0,Missed TaDZ,,,2.0,TaDZ & Reorganize,,,,,
ThisIsGreatFun,4,Y,N,B,4-1,4:29,5:02,33.0,G to RBDZ,G to BEDZ,,2.0,Nest and organize,,,G,R,B
WetDogOnBeach,3,Y,N,L,4-1,2:56,3:26,30.0,G to RBDZ,G to BEDZ,,2.0,Nest and Organize,,,G,R,B
NoMilkForSally,1,Y,Y,L,4-1,4:25,4:45,20.0,R to BTaDZ,G to BEDZ,,2.0,"G to RBBDZ, nested, split.",,,R,B,Ta
FunToBeMe,1,Y,Y,L,4-1,3:06,3:22,16.0,G to RBDZ,G to BEDZ,,1.0,B to RRDZ,,,G,R,B
FredaMyRogerDarci,5,N,Y,L,4-1,4:14,4:29,15.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
HamSandwichRightNow,6,N,Y,B,4-1,3:28,3:40,12.0,G to RBDZ,G to BEDZ,,2.0,Organized w/o EDZ,,,G,R,B
IAmMrAnnonymous,3,Y,N,L,4-1,3:31,3:43,12.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
LauraSuttle,3,Y,N,L,4-1,2:58,3:07,9.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
AriEbenPokiSushi,5,N,Y,L,4-1,5:43,5:51,8.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
DonkeyAndBabyClothes,1,Y,Y,L,4-1,4:19,4:26,7.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
